,TNKILC,Strom,Epi,Mast,Myeloid,B,Plasma
AL627309.1,0.0541879820867108,0.00721496604848519,0.259669075262138,0.456711890401997,0.132574045367153,0,0.167726785688285
PERM1,0,0.00348104573074958,0,0,0,0,0
HES4,0.788114977460396,4.45557055533856,2.03843474537338,2.48542155841553,0.890558225094765,0,1.10236497504413
ISG15,7.14299253766166,5.55931442036674,5.90779391331179,4.98163116113092,4.17267950747871,6.44348561813213,5.63487905463825
RP11-465B22.6,0,0.00922570906341303,0,0,0,0,0
TNFRSF18,6.86440585993617,0.0942280488482432,0.035827625569186,1.73420628758676,0.338679271977567,0,2.60161614034281
TNFRSF4,2.12713338890588,0.587393583445496,0.0176458278204355,1.88073520489793,0.358255439285211,0.905728895350424,0.998787497538756
VWA1,0,2.54511391599266,0.741672971172858,0,0.056245834319484,0,0.0790131020471796
CCDC27,0,0,0.0110388837382991,0,0,0.396888469817108,0
SMIM1,0.0527775930318819,0.0685559225352593,0.112190383692484,2.55793582009717,0.0710512638858885,0,0.552069177317282
RN7SL574P,0,0.0123372382933046,0,0,0.00452313318599048,0,0
CHD5,0,0.00945147494851884,0.003495696203539,0,0,0,0
TNFRSF25,1.62192678403075,0.117687170221541,0.453186222479458,0.0774246842536222,0.102785195819565,0,0.0537647074906444
RP11-242F24.1,0.00802560758456395,0.00346741559283751,0,0,0,0,0
UTS2,0.0814343079867037,0.0102797428015764,0.0924531314301032,2.73601881454199,0.0314212377490204,0,0
TNFRSF9,1.41741864014763,0.0108456282969634,0.00533720222951084,1.54722738001695,0.518609889262796,0,0
RBP7,0,0.796434710266477,0.0216897757181655,0,0.472762299139686,0,0
RP4-635E18.8,0.0408089068795867,0.0094542464530821,0.0172984890486078,0,0,0,0
ANGPTL7,0,0.409766965237567,0,0,0,0,0
NPPA,0,0.0233320880673062,0,0,0,0,0
PADI4,0.0115322501465305,0.00315340412945434,0.0124572386600493,0.398958789408036,0.12549588648725,0,0
PLA2G2A,0.358688261829937,0.526803751277537,4.89800991529775,0.0654066418694251,0.130907145595111,0,0.459015233115824
PLA2G2D,0,0,0,0,0.0709040895889862,0,0.183205633506637
HSPG2,0.0900731846706469,4.22339104696394,1.30926121948236,0.45545309668181,0.109938668818564,0,0.309743929965202
C1QA,0.330302170312827,0.0563158866521565,0.218316216668122,0.261810177583779,7.11706070071636,0,0.711890374182688
C1QC,0.27093395086833,0.0309240305695524,0.133139235786513,0.207434883168424,5.78899027355809,0.376013426802033,0.532677491931922
C1QB,0.326434559364913,0.0635433053346319,0.232441987943489,0,6.70618831264347,0,1.13707911501371
ID3,2.13494791475556,7.13753101803515,4.62952533112656,0.116073263324983,0.88503923430076,6.46021744536881,2.72703493545539
RHD,0,0.0211067331420498,0.00502040540229016,0.174035669850782,0.00696597269381016,0,0
RP1-187B23.1,0.47607755237004,0.00412791184917813,0,0,0.0249032668359828,0,0
STMN1,5.40035412343313,1.98346060647109,4.31731515731992,6.08592403690844,2.28452070249891,12.4411452392358,1.63683855556386
SLC30A2,0,0,0.0405274431671833,0.349011649791839,0,0,0
CD52,17.4175784140709,0.167777026893707,0.1949332219513,10.8193069633173,5.02907650490613,20.5931292703778,4.65358161789726
ZNF683,2.41842978334882,0,0.0106166692631545,0,0.00194639306621529,0,0.221685910582196
IFI6,3.41815178302245,4.09102899653564,4.37837641915262,4.19103073204998,4.00837070933179,0.386803040743914,5.10611903775293
LAPTM5,8.44593956372307,0.366272782473097,0.135140621990742,10.9348063647852,9.72321734480352,20.3402011971095,3.70281940208267
RP5-1125N11.2,0,0.0128606669345543,0,0,0,0,0
FAM167B,0.127059099038038,1.19727565086641,0.0235163339613975,0,0,0,0
LCK,7.75711588297805,0.0282174525207817,0.210965301995331,0.0650023671277782,0.140766179026417,4.15181576252764,1.73567405313646
ZBTB8B,0,0.014475616729351,0,0,0,0,0
GJA4,0,2.12071120724537,0.0106694155662587,0,0,0,0
RP4-789D17.5,0.0263805531509673,0,0,0,0,0,0
TEKT2,0,0.00879545409360339,0,0,0,0,0
CSF3R,0.131855184220769,0.0223847571501581,0.00531996070859803,0,1.40528406327037,0,0
GRIK3,0,0.250027158580732,0,0,0,0,0
RSPO1,0,0.0178901959001711,0,0,0,0,0
RP11-329N22.1,0,0,0,0,0,0.277044743488573,0
RNU6-1237P,0.0108421648329274,0,0,0,0.00840419365813986,0,0
GUCA2B,0.165212091587425,0.209410825057113,3.31145775390883,0,0.0544832668387681,0,0.183205633506637
GUCA2A,0.101048060579518,0.31960119912306,5.35043050077227,0.106914607699496,0.111796494017797,0,0.508502195908826
RP5-994D16.12,0,0,0,0,0.00763509170132925,0,0
CFAP57,0.0185646433691358,0,0.0111537255359606,0,0.012201633255788,0,0
C1orf228,0.133048656362637,0.0223716836297828,0.0230066871338029,3.44528529001563,0.263937104082282,0.622755520168397,0.367205161760342
BEST4,0.0607490281106341,0.0438811036712839,1.42092139928033,0,0,0.157391752312741,0.183205633506637
RP4-533D7.5,0,0.00709116774116744,0.0188106473185306,0,0,0,0
TSPAN1,0.354046098326566,0.234311358813957,9.53093301792028,0.0757278304721074,0.12738006791249,0.304680077540976,0.307035026099674
CYP4B1,0,0.0851221011057112,0.00490981956657969,0,0,0,0
FAM159A,0.544322427706974,0,0.0292344422982097,0,0.142179047644117,2.57332004504008,0.935185670862152
RP11-90C4.1,0,0.0170344230671142,0,0,0,0,0
PLPP3,0.0574714300669136,2.43273420697118,0.452559150948869,0,0.203028930814802,0.157391752312741,0.114064056161916
JUN,9.91297756975186,10.8132519161311,11.3724024909257,14.8228258666422,5.53840767772288,6.79485705937809,19.7601841224873
RP4-668G5.1,0,0.030425926892313,0,0,0,0,0
RP4-792G4.2,0,0.53977326710847,0.0118240438472124,0,0,0,0
FOXD3,0,0.384005843945337,0,0,0,0,0
PDE4B,1.38719400030427,0.481348348415544,0.114235978205065,0.080263316148374,2.12320928114362,1.81772583032344,1.60866228407218
IL23R,0.394294944277501,0.00301137265540361,0.0548876083574444,0.0315718628434733,0.041217753063381,0,0.216220964914518
AK5,0.0113657476841289,0.223052639351738,0.00490981956657969,0,0.0230688430991033,0.46006233039637,0
IFI44L,0.800138190508559,1.18612503583339,0.941437241957211,1.35184727304254,1.36801066947085,1.2795698749859,0.241838816183394
ADGRL4,0.0251212988134177,1.60693333107263,0.0262433869204128,0,0.0139582807729796,0,0
RP5-887A10.1,0.051989854864461,0.0181341044242512,0.0156100734781966,0,0.030388469011967,3.36061924224183,1.1509866455128
RP11-475O6.1,0,0.00356912885233439,0.0646976371052697,0,0,0,0
LPAR3,0,0.0221399974332224,0.00612993307509228,0,0.00841653097430837,0,0
CYR61,0.00750390688281918,4.66931665355848,0.514878669348861,0,0.00241434076111759,0,0
CLCA1,0.138253718420133,0.177000667271193,1.47190157325132,0,0.0492274977176151,0.419472352808128,0
CLCA4,0.120509918543717,0.114087370587794,1.88935378067246,0,0.0365223756367628,0,0.183205633506637
GBP5,2.63892806133496,0.0406673289031728,0.0163354909679845,0.146006812883136,0.841204022569026,1.15065794864087,0.842365365971315
GBP6,0.0231949553243737,0.00379934702155433,0,0,0,0,0
